label,text
ham,Hi how are you doing today
spam,Congratulations you won a free prize click now
ham,Can we meet tomorrow morning
spam,URGENT You have won 100000 claim your reward now
ham,Please send me the project report
spam,Win cash now click this link immediately
ham,Your meeting is scheduled for tomorrow
spam,Exclusive offer buy now and get 90 percent discount
ham,Happy birthday have a wonderful day
spam,Congratulations you are selected for a free gift
ham,Please call me when you are available
spam,You have been chosen as our lucky winner claim now
ham,Your interview is scheduled for Monday
spam,Get rich quickly with this amazing opportunity
ham,Thank you for your email
spam,Limited time offer click here to win money
ham,Please find the attached document
spam,Claim your free vacation package today
ham,The class starts at 10 AM tomorrow
spam,Act now your prize is waiting
ham,Your application has been successfully submitted
spam,You are today's lucky winner click here now
ham,The project meeting has been moved to Friday
spam,Free money waiting for you claim immediately
ham,Please review the attached assignment
spam,Exclusive reward available for a limited time